CS161,2016,1,1651005,0,10
CS161,2016,1,1651005,1,10
CS161,2016,1,1651005,2,10
CS162,2016,2,1651005,0,10
CS162,2016,2,1651005,1,10
CS162,2016,2,1651005,2,10
CS163,2016,3,1651005,0,10
CS163,2016,3,1651005,2,10
CS163,2016,3,1651005,1,10
CS161,2016,1,1651004,0,4.5
CS161,2016,1,1651004,1,5.5
CS161,2016,1,1651004,2,6.5
CS162,2016,2,1651004,0,1
CS162,2016,2,1651004,1,5
CS162,2016,2,1651004,2,10
CS163,2016,3,1651004,0,0
CS163,2016,3,1651004,1,4
CS163,2016,3,1651004,2,10
CS161,2017,1,1651005,0,10
CS161,2017,1,1651005,1,10
CS161,2017,1,1651005,2,10
CS162,2017,2,1651005,0,10
CS162,2017,2,1651005,1,10
CS162,2017,2,1651005,2,10
CS163,2017,3,1651005,0,10
CS163,2017,3,1651005,1,10
CS163,2017,3,1651005,2,10
PH201,2016,1,1651044,0,10
PH201,2016,1,1651044,1,10
PH201,2016,1,1651044,2,10
PH202,2017,2,1651044,0,10
PH202,2017,2,1651044,1,10
PH202,2017,2,1651044,2,10
